City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-8.36,92,98,0.71,RU,1696297231
1,kirensk,57.7853,108.1119,-1.1,94,92,2.24,RU,1696297329
2,waitangi,-43.9535,-176.5597,8.23,93,100,7.15,NZ,1696297246
3,edinburgh of the seven seas,-37.0676,-12.3116,10.01,57,81,9.74,SH,1696297223
4,bayramaly,37.6185,62.1671,15.86,23,71,5.35,TM,1696297329
5,isangel,-19.55,169.2667,27.06,61,75,6.69,VU,1696297068
6,port-aux-francais,-49.35,70.2167,2.33,76,75,15.36,TF,1696297249
7,san miguel,13.4833,-88.1833,24.56,99,100,0.41,SV,1696297145
8,victoria,22.2855,114.1577,31.03,81,32,2.24,HK,1696297160
9,mercedes,-34.6515,-59.4307,14.32,93,100,3.63,AR,1696297330
10,ust-nera,64.5667,143.2,1.79,68,30,1.34,RU,1696297222
11,onega,63.9061,38.1404,5.75,87,100,4.4,RU,1696297330
12,margaret river,-33.95,115.0667,14.26,63,100,4.49,AU,1696297093
13,iqaluit,63.7506,-68.5145,2.85,86,100,5.14,CA,1696297230
14,hadibu,12.65,54.0333,26.42,84,23,1.95,YE,1696297262
15,priargunsk,50.3691,119.1012,9.54,73,100,1.84,RU,1696297331
16,fauske,67.2588,15.3918,7.1,91,100,2.92,NO,1696297331
17,ushuaia,-54.8,-68.3,5.81,70,40,2.57,AR,1696297249
18,fale old settlement,-9.3852,-171.2468,28.58,74,100,5.74,TK,1696297254
19,ilulissat,69.2167,-51.1,-1.99,37,0,7.72,GL,1696297222
20,adamstown,-25.066,-130.1015,20.42,73,15,9.6,PN,1696297331
21,grytviken,-54.2811,-36.5092,1.45,61,97,4.88,GS,1696297225
22,flying fish cove,-10.4217,105.6791,24.82,73,67,5.66,CX,1696297331
23,argo,37.6333,22.7333,18.21,65,5,1.97,GR,1696297331
24,jamestown,42.097,-79.2353,18.8,89,0,1.54,US,1696297331
25,antsiranana,-12.2787,49.2917,21.49,89,45,3.35,MG,1696297204
26,albany,42.6001,-73.9662,15.75,86,15,0.45,US,1696297332
27,new norfolk,-42.7826,147.0587,21.72,79,88,3.6,AU,1696297240
28,mount isa,-20.7333,139.5,32.87,18,0,5.66,AU,1696297332
29,atafu village,-8.5421,-172.5159,28.82,73,15,4.6,TK,1696297255
30,coahuayana de hidalgo,18.7,-103.6583,27.28,91,100,0.66,MX,1696297298
31,vadso,70.0744,29.7487,0.09,100,75,3.09,NO,1696297281
32,kavieng,-2.5744,150.7967,28.55,74,59,2.08,PG,1696297332
33,blackmans bay,-43.0167,147.3167,21.07,68,72,4.36,AU,1696297333
34,st. john's,47.5649,-52.7093,9.43,95,75,1.54,CA,1696297106
35,itoman,26.1247,127.6694,31.21,84,75,4.63,JP,1696297333
36,bethel,41.3712,-73.414,17.2,85,0,0.0,US,1696297333
37,pingliang,35.5392,106.6861,13.54,83,97,1.69,CN,1696297074
38,ostersund,63.1792,14.6357,6.25,100,40,2.57,SE,1696297333
39,akjoujt,19.6969,-14.4164,32.03,14,1,2.09,MR,1696297333
40,ribeira grande,38.5167,-28.7,18.21,79,0,3.13,PT,1696297253
41,suva,-18.1416,178.4415,25.71,69,75,6.17,FJ,1696297145
42,olonkinbyen,70.9221,-8.7187,2.88,84,77,7.18,SJ,1696297334
43,puerto natales,-51.7236,-72.4875,2.91,96,100,1.87,CL,1696297334
44,longyearbyen,78.2186,15.6401,-3.09,68,75,6.69,SJ,1696297273
45,komarichi,52.4151,34.7905,5.36,89,0,2.08,RU,1696297334
46,kruisfontein,-34.0033,24.7314,17.59,39,0,3.41,ZA,1696297233
47,pundong,-7.9522,110.3486,28.38,62,100,3.64,ID,1696297334
48,sokoni,-6.4333,39.55,25.4,79,73,6.98,TZ,1696297334
49,palikir - national government center,6.9248,158.1611,31.41,70,75,2.06,FM,1696297334
50,san ignacio de velasco,-16.3667,-60.95,29.02,45,10,2.42,BO,1696297335
